,Corrida_1,Corrida_2,Corrida_3,Promedio
2022-03-29 15:00:00,50.554813966719365,50.5637327104072,50.529316427508945,50.549287701545175
2022-04-12 15:00:00,51.62937575718226,51.629972199368865,51.62727889814726,51.6288756182328
2022-04-26 15:00:00,36.128998565011855,36.12887793014776,36.12893330457266,36.12893659991076
2022-05-10 15:00:00,32.044664703870424,32.04460010182194,32.04472141502969,32.04466207357402
2022-05-24 15:00:00,30.08550292216481,30.087668160148663,30.087684005323414,30.086951695878962
2022-06-07 15:00:00,31.603131615021724,31.603127496294093,31.603138056523054,31.603132389279622
2022-06-21 15:00:00,38.48871967497424,38.46891481530938,38.48895026523997,38.482194918507865
2022-07-05 15:00:00,31.129126144611035,31.129324847654,31.128867033762763,31.129106008675933
2022-07-19 15:00:00,49.82003486013081,49.820996903785165,49.81934111240147,49.82012429210582
2022-08-02 15:00:00,58.55665499599554,58.55676118310384,58.556841137466016,58.556752438855135
2022-08-16 15:00:00,51.23223008430599,51.232540764214505,51.232334524868676,51.23236845779638
2022-08-30 15:00:00,29.717335669938358,29.717314378420042,29.717339192665648,29.717329747008012
2022-09-13 15:00:00,35.74365275978211,35.743652759781405,35.74365275976489,35.74365275977613
2022-09-27 15:00:00,49.04758464781389,49.04758978723288,49.06895868199831,49.054711039015025
2022-10-11 15:00:00,34.444627065048344,34.44343478975426,34.445935386103514,34.4446657469687
2022-10-25 15:00:00,33.12491348427564,33.12480268476606,33.119144874655554,33.12295368123242
2022-11-08 15:00:00,54.642321284313006,54.64232250120481,54.643964803521854,54.64286952967989
2022-11-22 15:00:00,47.08459637509849,47.081992098772645,47.0844927003475,47.083693724739554
2022-12-06 15:00:00,43.48436018278211,43.48510730980239,43.48469229565206,43.484719929412186
2022-12-20 15:00:00,42.08866710990573,42.08859872719235,42.08870059802129,42.08865547837312
2023-01-03 15:00:00,28.82492972603042,28.812606882748526,28.81424719282569,28.817261267201545
2023-01-17 15:00:00,76.25230672906598,76.24791388080821,76.2483096837204,76.24951009786486
2023-01-31 15:00:00,72.95442682462243,72.95666547114931,72.94142423739368,72.95083884438847
2023-02-14 15:00:00,40.64617034122146,40.64617452610988,40.64619960117671,40.64618148950268
2023-02-28 15:00:00,48.409748680241215,48.399606073417885,48.39551384925058,48.40162286763657
2023-03-14 15:00:00,49.64883198819602,49.64873344738451,49.64872304026443,49.64876282528166
2023-03-28 15:00:00,44.445327954855244,44.44542587242345,44.44539041528234,44.44538141418701
2023-04-11 15:00:00,48.13093586198484,48.13243269983014,48.13282929790208,48.13206595323902
2023-04-25 15:00:00,38.79851717490365,38.779919280688,38.779330470712935,38.7859223087682
2023-05-09 15:00:00,31.89731191240251,31.900819669890236,31.901545295237284,31.899892292510014
2023-05-23 15:00:00,36.33950754855012,36.339197049010494,36.3380877116478,36.33893076973614
2023-06-06 15:00:00,43.25619769718752,43.25604830913351,43.25653819868496,43.25626140166866
2023-06-20 15:00:00,30.523860360790934,30.52799498077845,30.523961285271852,30.525272208947076
2023-07-04 15:00:00,66.47062563037248,66.47076652263955,66.47049597383582,66.47062937561596
2023-07-18 15:00:00,67.66638274043274,67.6753143239971,67.6676246686257,67.66977391101851
2023-08-01 15:00:00,47.34239810224291,47.342184276150775,47.34257903240202,47.342387136931904
2023-08-15 15:00:00,44.781132829196615,44.77958540606085,44.78120771938863,44.78064198488204
2023-08-29 15:00:00,29.06729286520547,29.067365266467206,29.067351113666984,29.06733641511322
2023-09-12 15:00:00,22.48004939640914,22.456147379344397,22.47953958464519,22.47191212013291
2023-09-26 15:00:00,47.378230965572314,47.37885568016002,47.37857409844742,47.37855358139325
2023-10-10 15:00:00,51.971611807854515,51.971670539805594,51.971596512603604,51.97162628675457
