https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USD
1764802800000,2025-12-03 23:00:00,LRC/USD,0.05276,0.05276,0.05268,0.05268,7059.338973,371.88597709763997
1764799200000,2025-12-03 22:00:00,LRC/USD,0.0526,0.05276,0.0526,0.05276,185.064813,9.764019533879999
1764795600000,2025-12-03 21:00:00,LRC/USD,0.05205,0.0526,0.05205,0.0526,345.135068,18.1541045768
1764792000000,2025-12-03 20:00:00,LRC/USD,0.05205,0.05205,0.05205,0.05205,0.0,0.0
1764788400000,2025-12-03 19:00:00,LRC/USD,0.05156,0.05205,0.05024,0.05205,13823.763553,719.5268929336501
1764784800000,2025-12-03 18:00:00,LRC/USD,0.05156,0.05156,0.05156,0.05156,0.0,0.0
1764781200000,2025-12-03 17:00:00,LRC/USD,0.05156,0.05156,0.05156,0.05156,0.0,0.0
1764777600000,2025-12-03 16:00:00,LRC/USD,0.05174,0.05175,0.05156,0.05156,1300.873748,67.07305044688
1764774000000,2025-12-03 15:00:00,LRC/USD,0.05174,0.05174,0.05174,0.05174,0.0,0.0
1764770400000,2025-12-03 14:00:00,LRC/USD,0.0519,0.0519,0.05174,0.05174,4.1,0.212134
1764766800000,2025-12-03 13:00:00,LRC/USD,0.0519,0.0519,0.0519,0.0519,0.0,0.0
1764763200000,2025-12-03 12:00:00,LRC/USD,0.0519,0.0519,0.0519,0.0519,0.0,0.0
1764759600000,2025-12-03 11:00:00,LRC/USD,0.05234,0.05234,0.0519,0.0519,37.584891,1.9506558429
1764756000000,2025-12-03 10:00:00,LRC/USD,0.05234,0.05234,0.05234,0.05234,0.0,0.0
1764752400000,2025-12-03 09:00:00,LRC/USD,0.05234,0.05234,0.05234,0.05234,0.0,0.0
1764748800000,2025-12-03 08:00:00,LRC/USD,0.05234,0.05234,0.05234,0.05234,0.0,0.0
1764745200000,2025-12-03 07:00:00,LRC/USD,0.05236,0.05236,0.05234,0.05234,11.03333,0.5774844922
