https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LPT,Volume USD
1764802800000,2025-12-03 23:00:00,LPT/USD,4.0512,4.0623,4.0512,4.0623,5.319774,21.610517920199996
1764799200000,2025-12-03 22:00:00,LPT/USD,3.9861,4.0512,3.9861,4.0512,0.15702,0.6361194239999999
1764795600000,2025-12-03 21:00:00,LPT/USD,3.9861,3.9861,3.9861,3.9861,0.0,0.0
1764792000000,2025-12-03 20:00:00,LPT/USD,3.9861,3.9861,3.9861,3.9861,0.0,0.0
1764788400000,2025-12-03 19:00:00,LPT/USD,3.9861,3.9861,3.9861,3.9861,0.0,0.0
1764784800000,2025-12-03 18:00:00,LPT/USD,3.9861,3.9861,3.9861,3.9861,0.0,0.0
1764781200000,2025-12-03 17:00:00,LPT/USD,3.9861,3.9861,3.9861,3.9861,0.0,0.0
1764777600000,2025-12-03 16:00:00,LPT/USD,3.9861,3.9861,3.9861,3.9861,0.0,0.0
1764774000000,2025-12-03 15:00:00,LPT/USD,3.9756,3.9861,3.9756,3.9861,25.586173,101.9890441953
1764770400000,2025-12-03 14:00:00,LPT/USD,3.9756,3.9756,3.9756,3.9756,0.0,0.0
1764766800000,2025-12-03 13:00:00,LPT/USD,3.9756,3.9756,3.9756,3.9756,0.0,0.0
1764763200000,2025-12-03 12:00:00,LPT/USD,3.9756,3.9756,3.9756,3.9756,0.0,0.0
1764759600000,2025-12-03 11:00:00,LPT/USD,3.9756,3.9756,3.9756,3.9756,0.0,0.0
1764756000000,2025-12-03 10:00:00,LPT/USD,3.9756,3.9756,3.9756,3.9756,0.0,0.0
1764752400000,2025-12-03 09:00:00,LPT/USD,3.9756,3.9756,3.9756,3.9756,0.0,0.0
1764748800000,2025-12-03 08:00:00,LPT/USD,3.9756,3.9756,3.9756,3.9756,0.0,0.0
1764745200000,2025-12-03 07:00:00,LPT/USD,3.9756,3.9756,3.9756,3.9756,0.0,0.0
1764741600000,2025-12-03 06:00:00,LPT/USD,3.9313,4.0016,3.9313,3.9756,31.125972,123.7444142832
1764738000000,2025-12-03 05:00:00,LPT/USD,3.9313,3.9313,3.9313,3.9313,0.0,0.0
1764734400000,2025-12-03 04:00:00,LPT/USD,3.9313,3.9313,3.9313,3.9313,0.0,0.0
1764730800000,2025-12-03 03:00:00,LPT/USD,3.9539,3.9539,3.9313,3.9313,0.15702,0.617292726
1764727200000,2025-12-03 02:00:00,LPT/USD,3.9539,3.9539,3.9539,3.9539,0.0,0.0
1764723600000,2025-12-03 01:00:00,LPT/USD,3.9539,3.9539,3.9539,3.9539,0.0,0.0
1764720000000,2025-12-03 00:00:00,LPT/USD,3.9539,3.9539,3.9539,3.9539,0.0,0.0
1764716400000,2025-12-02 23:00:00,LPT/USD,3.9539,3.9539,3.9539,3.9539,0.0,0.0
1764712800000,2025-12-02 22:00:00,LPT/USD,3.9539,3.9539,3.9539,3.9539,0.0,0.0
1764709200000,2025-12-02 21:00:00,LPT/USD,3.9604,3.9604,3.9539,3.9539,40.710228,160.9641704892
1764705600000,2025-12-02 20:00:00,LPT/USD,3.9604,3.9604,3.9604,3.9604,0.0,0.0
1764702000000,2025-12-02 19:00:00,LPT/USD,3.9604,3.9604,3.9604,3.9604,0.0,0.0
1764698400000,2025-12-02 18:00:00,LPT/USD,3.9917,3.9917,3.9604,3.9604,170.204774,674.0789869495999
1764694800000,2025-12-02 17:00:00,LPT/USD,3.9917,3.9917,3.9917,3.9917,0.0,0.0
1764691200000,2025-12-02 16:00:00,LPT/USD,3.9917,3.9917,3.9917,3.9917,0.0,0.0
1764687600000,2025-12-02 15:00:00,LPT/USD,3.8184,3.9917,3.8184,3.9917,0.974826,3.8912129442
1764684000000,2025-12-02 14:00:00,LPT/USD,3.7618,3.8184,3.7618,3.8184,15.189726,58.0004497584
1764680400000,2025-12-02 13:00:00,LPT/USD,3.7154,3.7618,3.7154,3.7618,0.25927,0.975321886
1764676800000,2025-12-02 12:00:00,LPT/USD,3.7154,3.7154,3.7154,3.7154,0.0,0.0
1764673200000,2025-12-02 11:00:00,LPT/USD,3.7154,3.7154,3.7154,3.7154,0.0,0.0
1764669600000,2025-12-02 10:00:00,LPT/USD,3.7154,3.7154,3.7154,3.7154,0.0,0.0
1764666000000,2025-12-02 09:00:00,LPT/USD,3.7154,3.7154,3.7154,3.7154,0.0,0.0
1764662400000,2025-12-02 08:00:00,LPT/USD,3.7154,3.7154,3.7154,3.7154,0.0,0.0
1764658800000,2025-12-02 07:00:00,LPT/USD,3.7624,3.7624,3.7154,3.7154,0.157648,0.5857253792
1764655200000,2025-12-02 06:00:00,LPT/USD,3.7624,3.7624,3.7624,3.7624,0.0,0.0
1764651600000,2025-12-02 05:00:00,LPT/USD,3.7624,3.7624,3.7624,3.7624,0.0,0.0
1764648000000,2025-12-02 04:00:00,LPT/USD,3.7624,3.7624,3.7624,3.7624,0.0,0.0
1764644400000,2025-12-02 03:00:00,LPT/USD,3.7624,3.7624,3.7624,3.7624,0.0,0.0
1764640800000,2025-12-02 02:00:00,LPT/USD,3.7624,3.7624,3.7624,3.7624,0.0,0.0
1764637200000,2025-12-02 01:00:00,LPT/USD,3.7053,3.7624,3.7053,3.7624,0.157648,0.5931348352
1764633600000,2025-12-02 00:00:00,LPT/USD,3.7053,3.7053,3.7053,3.7053,0.0,0.0
1764630000000,2025-12-01 23:00:00,LPT/USD,3.7053,3.7053,3.7053,3.7053,0.0,0.0
1764626400000,2025-12-01 22:00:00,LPT/USD,3.7053,3.7053,3.7053,3.7053,0.0,0.0
1764622800000,2025-12-01 21:00:00,LPT/USD,3.6679,3.7053,3.6679,3.7053,40.549671,150.24869595629997
1764619200000,2025-12-01 20:00:00,LPT/USD,3.6679,3.6679,3.6679,3.6679,0.0,0.0
1764615600000,2025-12-01 19:00:00,LPT/USD,3.6679,3.6679,3.6679,3.6679,0.0,0.0
1764612000000,2025-12-01 18:00:00,LPT/USD,3.6679,3.6679,3.6679,3.6679,0.0,0.0
1764608400000,2025-12-01 17:00:00,LPT/USD,3.6847,3.6847,3.6679,3.6679,6.647816,24.3835243064
1764604800000,2025-12-01 16:00:00,LPT/USD,3.6847,3.6847,3.6847,3.6847,0.0,0.0
1764601200000,2025-12-01 15:00:00,LPT/USD,3.7072,3.7072,3.6847,3.6847,0.157648,0.5808855856
1764597600000,2025-12-01 14:00:00,LPT/USD,3.6601,3.7072,3.6601,3.7072,0.157648,0.5844326656
1764594000000,2025-12-01 13:00:00,LPT/USD,3.6601,3.6601,3.6601,3.6601,0.0,0.0
1764590400000,2025-12-01 12:00:00,LPT/USD,3.6745,3.6745,3.6601,3.6601,1.632768,5.9760941567999994
1764586800000,2025-12-01 11:00:00,LPT/USD,3.6976,3.6976,3.6745,3.6745,1.067372,3.922058414
1764583200000,2025-12-01 10:00:00,LPT/USD,3.6976,3.6976,3.6976,3.6976,0.0,0.0
1764579600000,2025-12-01 09:00:00,LPT/USD,3.6976,3.6976,3.6976,3.6976,0.0,0.0
1764576000000,2025-12-01 08:00:00,LPT/USD,3.6589,3.6976,3.6589,3.6976,6.064264,22.4232225664
1764572400000,2025-12-01 07:00:00,LPT/USD,3.685,3.685,3.6589,3.6589,0.066648,0.2438583672
