https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STORJ,Volume USD
1764802800000,2025-12-03 23:00:00,STORJ/USD,0.15006,0.15288,0.15006,0.15288,12.803226,1.9573571908799998
1764799200000,2025-12-03 22:00:00,STORJ/USD,0.15281,0.15998,0.14999,0.15006,191.425076,28.72524690456
1764795600000,2025-12-03 21:00:00,STORJ/USD,0.15273,0.15281,0.15273,0.15281,153.857798,23.51101011238
1764792000000,2025-12-03 20:00:00,STORJ/USD,0.15434,0.15434,0.15273,0.15273,322.629059,49.275136181069996
1764788400000,2025-12-03 19:00:00,STORJ/USD,0.15434,0.15434,0.15434,0.15434,0.0,0.0
1764784800000,2025-12-03 18:00:00,STORJ/USD,0.15434,0.15434,0.15434,0.15434,0.0,0.0
1764781200000,2025-12-03 17:00:00,STORJ/USD,0.15434,0.15434,0.15434,0.15434,0.0,0.0
1764777600000,2025-12-03 16:00:00,STORJ/USD,0.15459,0.15459,0.15434,0.15434,6.319604,0.9753676813600001
1764774000000,2025-12-03 15:00:00,STORJ/USD,0.15459,0.15459,0.15459,0.15459,0.0,0.0
1764770400000,2025-12-03 14:00:00,STORJ/USD,0.15459,0.15459,0.15459,0.15459,0.0,0.0
1764766800000,2025-12-03 13:00:00,STORJ/USD,0.15459,0.15459,0.15459,0.15459,0.0,0.0
1764763200000,2025-12-03 12:00:00,STORJ/USD,0.15459,0.15459,0.15459,0.15459,0.0,0.0
1764759600000,2025-12-03 11:00:00,STORJ/USD,0.15459,0.15459,0.15459,0.15459,0.0,0.0
1764756000000,2025-12-03 10:00:00,STORJ/USD,0.15459,0.15459,0.15459,0.15459,0.0,0.0
1764752400000,2025-12-03 09:00:00,STORJ/USD,0.15459,0.15459,0.15459,0.15459,0.0,0.0
1764748800000,2025-12-03 08:00:00,STORJ/USD,0.15459,0.15459,0.15459,0.15459,0.0,0.0
1764745200000,2025-12-03 07:00:00,STORJ/USD,0.15459,0.15459,0.15459,0.15459,0.0,0.0
1764741600000,2025-12-03 06:00:00,STORJ/USD,0.15459,0.15459,0.15459,0.15459,0.0,0.0
