https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD
1762034400000,2025-11-01 22:00:00,CUBE/USD,0.2748,0.2748,0.2748,0.2748,0.0,0.0
1762030800000,2025-11-01 21:00:00,CUBE/USD,0.2748,0.2748,0.2748,0.2748,88.715778,24.379095794399998
1762027200000,2025-11-01 20:00:00,CUBE/USD,0.2748,0.2748,0.2748,0.2748,0.0,0.0
1762023600000,2025-11-01 19:00:00,CUBE/USD,0.26,0.2748,0.26,0.2748,1291.701729,354.95963512919997
1762020000000,2025-11-01 18:00:00,CUBE/USD,0.2644,0.2644,0.26,0.26,0.02,0.005200000000000001
1762016400000,2025-11-01 17:00:00,CUBE/USD,0.2452,0.2644,0.2452,0.2644,4.068131,1.0756138364
1762012800000,2025-11-01 16:00:00,CUBE/USD,0.2452,0.2452,0.2452,0.2452,0.0,0.0
1762009200000,2025-11-01 15:00:00,CUBE/USD,0.2548,0.2548,0.2452,0.2452,100.0,24.52
1762005600000,2025-11-01 14:00:00,CUBE/USD,0.2548,0.2548,0.2548,0.2548,0.0,0.0
1762002000000,2025-11-01 13:00:00,CUBE/USD,0.2548,0.2548,0.2548,0.2548,0.0,0.0
1761998400000,2025-11-01 12:00:00,CUBE/USD,0.2452,0.2548,0.2452,0.2548,60.401378,15.390271114400003
1761994800000,2025-11-01 11:00:00,CUBE/USD,0.2452,0.2452,0.2452,0.2452,0.0,0.0
1761991200000,2025-11-01 10:00:00,CUBE/USD,0.2452,0.2452,0.2452,0.2452,0.0,0.0
1761987600000,2025-11-01 09:00:00,CUBE/USD,0.2452,0.2452,0.2452,0.2452,0.0,0.0
1761984000000,2025-11-01 08:00:00,CUBE/USD,0.2452,0.2452,0.2452,0.2452,0.0,0.0
1761980400000,2025-11-01 07:00:00,CUBE/USD,0.2451,0.2452,0.2451,0.2452,19.884941,4.8757875332000005
1761976800000,2025-11-01 06:00:00,CUBE/USD,0.2451,0.2451,0.2451,0.2451,0.0,0.0
1761973200000,2025-11-01 05:00:00,CUBE/USD,0.245,0.2451,0.245,0.2451,70.699515,17.328451126500003
1761969600000,2025-11-01 04:00:00,CUBE/USD,0.245,0.245,0.245,0.245,0.0,0.0
1761966000000,2025-11-01 03:00:00,CUBE/USD,0.242,0.245,0.242,0.245,59.70303,14.62724235
1761962400000,2025-11-01 02:00:00,CUBE/USD,0.242,0.242,0.242,0.242,181.804255,43.99662971
