https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume INJ,Volume USD
1764687600000,2025-12-02 15:00:00,INJ/USD,5.5254,5.7764,5.5254,5.7764,9.941729,57.4274033956
1764684000000,2025-12-02 14:00:00,INJ/USD,5.2426,5.5254,5.2426,5.5254,3.09211,17.085144594
1764680400000,2025-12-02 13:00:00,INJ/USD,5.2426,5.2426,5.2426,5.2426,0.0,0.0
1764676800000,2025-12-02 12:00:00,INJ/USD,5.2426,5.2426,5.2426,5.2426,0.0,0.0
1764673200000,2025-12-02 11:00:00,INJ/USD,5.2426,5.2426,5.2426,5.2426,0.0,0.0
1764669600000,2025-12-02 10:00:00,INJ/USD,5.2426,5.2426,5.2426,5.2426,0.0,0.0
1764666000000,2025-12-02 09:00:00,INJ/USD,5.2426,5.2426,5.2426,5.2426,0.0,0.0
1764662400000,2025-12-02 08:00:00,INJ/USD,5.2426,5.2426,5.2426,5.2426,0.0,0.0
1764658800000,2025-12-02 07:00:00,INJ/USD,5.2426,5.2426,5.2426,5.2426,0.0,0.0
1764655200000,2025-12-02 06:00:00,INJ/USD,5.2426,5.2426,5.2426,5.2426,0.0,0.0
1764651600000,2025-12-02 05:00:00,INJ/USD,5.2201,5.2426,5.2201,5.2426,105.898179,555.1817932254
1764648000000,2025-12-02 04:00:00,INJ/USD,5.2201,5.2201,5.2201,5.2201,0.0,0.0
1764644400000,2025-12-02 03:00:00,INJ/USD,5.2201,5.2201,5.2201,5.2201,0.0,0.0
1764640800000,2025-12-02 02:00:00,INJ/USD,5.2201,5.2201,5.2201,5.2201,0.0,0.0
1764637200000,2025-12-02 01:00:00,INJ/USD,5.2505,5.2505,5.2201,5.2201,27.580984,143.9754945784
1764633600000,2025-12-02 00:00:00,INJ/USD,5.2338,5.2505,5.2313,5.2505,71.97212,377.88961606
1764630000000,2025-12-01 23:00:00,INJ/USD,5.2338,5.2338,5.2338,5.2338,0.0,0.0
1764626400000,2025-12-01 22:00:00,INJ/USD,5.1242,5.2552,5.1242,5.2338,24.32872,127.33165473599999
1764622800000,2025-12-01 21:00:00,INJ/USD,5.1914,5.1931,5.1242,5.1242,195.858943,1003.6203957206001
1764619200000,2025-12-01 20:00:00,INJ/USD,5.0957,5.1914,5.0957,5.1914,3.755909,19.4984259826
1764615600000,2025-12-01 19:00:00,INJ/USD,5.1174,5.1174,5.0957,5.0957,0.957021,4.8766919097
1764612000000,2025-12-01 18:00:00,INJ/USD,5.0364,5.1174,5.0364,5.1174,235.118272,1203.1942451328
1764608400000,2025-12-01 17:00:00,INJ/USD,5.05,5.05,5.0364,5.0364,0.447645,2.254519278
1764604800000,2025-12-01 16:00:00,INJ/USD,5.05,5.05,5.05,5.05,0.0,0.0
1764601200000,2025-12-01 15:00:00,INJ/USD,5.1357,5.1357,5.05,5.05,356.029702,1797.9499950999998
1764597600000,2025-12-01 14:00:00,INJ/USD,5.1634,5.1634,5.1357,5.1357,67.074087,344.47238860590005
1764594000000,2025-12-01 13:00:00,INJ/USD,5.1634,5.1634,5.1634,5.1634,0.0,0.0
1764590400000,2025-12-01 12:00:00,INJ/USD,5.2274,5.2274,5.0758,5.1634,97.21027,501.935508118
1764586800000,2025-12-01 11:00:00,INJ/USD,5.2337,5.2337,5.2274,5.2274,6.953168,36.3469904032
1764583200000,2025-12-01 10:00:00,INJ/USD,5.2337,5.2337,5.2337,5.2337,0.0,0.0
1764579600000,2025-12-01 09:00:00,INJ/USD,5.2337,5.2337,5.2337,5.2337,0.0,0.0
1764576000000,2025-12-01 08:00:00,INJ/USD,5.1928,5.2337,5.1928,5.2337,8.660041,45.3240565817
1764572400000,2025-12-01 07:00:00,INJ/USD,5.2,5.2,5.1928,5.1928,0.04696,0.24385388800000002
1764568800000,2025-12-01 06:00:00,INJ/USD,5.2,5.2,5.2,5.2,0.0,0.0
1764565200000,2025-12-01 05:00:00,INJ/USD,5.2,5.2,5.2,5.2,0.0,0.0
1764561600000,2025-12-01 04:00:00,INJ/USD,5.2938,5.2938,5.2,5.2,326.923076,1699.9999952
1764558000000,2025-12-01 03:00:00,INJ/USD,5.3245,5.3245,5.2938,5.2938,175.64029,929.8045672019999
1764554400000,2025-12-01 02:00:00,INJ/USD,5.3336,5.3353,5.3245,5.3245,39.207041,208.75788980449997
1764550800000,2025-12-01 01:00:00,INJ/USD,5.408,5.408,5.3336,5.3336,10.0,53.336
1764547200000,2025-12-01 00:00:00,INJ/USD,5.7191,5.7191,5.4,5.408,325.683084,1761.294118272
1764543600000,2025-11-30 23:00:00,INJ/USD,5.8725,5.8725,5.7191,5.7191,16.738166,95.7272451706
1764540000000,2025-11-30 22:00:00,INJ/USD,5.8591,5.8725,5.8591,5.8725,12.804405,75.19386836249998
1764536400000,2025-11-30 21:00:00,INJ/USD,5.8973,5.8973,5.8591,5.8591,70.23911,411.53796940099994
1764532800000,2025-11-30 20:00:00,INJ/USD,5.8973,5.8973,5.8973,5.8973,0.0,0.0
1764529200000,2025-11-30 19:00:00,INJ/USD,5.8973,5.8973,5.8973,5.8973,0.0,0.0
1764525600000,2025-11-30 18:00:00,INJ/USD,5.9137,5.9137,5.8973,5.8973,43.781115,258.19036948950003
1764522000000,2025-11-30 17:00:00,INJ/USD,5.9137,5.9137,5.9137,5.9137,0.0,0.0
1764518400000,2025-11-30 16:00:00,INJ/USD,5.9137,5.9137,5.9137,5.9137,0.0,0.0
1764514800000,2025-11-30 15:00:00,INJ/USD,5.9137,5.9137,5.9137,5.9137,0.0,0.0
1764511200000,2025-11-30 14:00:00,INJ/USD,5.9137,5.9137,5.9137,5.9137,0.0,0.0
1764507600000,2025-11-30 13:00:00,INJ/USD,5.9137,5.9137,5.9137,5.9137,0.0,0.0
1764504000000,2025-11-30 12:00:00,INJ/USD,5.9137,5.9137,5.9137,5.9137,0.0,0.0
1764500400000,2025-11-30 11:00:00,INJ/USD,5.9137,5.9137,5.9137,5.9137,0.0,0.0
1764496800000,2025-11-30 10:00:00,INJ/USD,5.8976,5.9137,5.8976,5.9137,10.0,59.137
1764493200000,2025-11-30 09:00:00,INJ/USD,5.8976,5.8976,5.8976,5.8976,0.0,0.0
1764489600000,2025-11-30 08:00:00,INJ/USD,5.8976,5.8976,5.8976,5.8976,0.0,0.0
1764486000000,2025-11-30 07:00:00,INJ/USD,5.8976,5.8976,5.8976,5.8976,0.0,0.0
1764482400000,2025-11-30 06:00:00,INJ/USD,5.8976,5.8976,5.8976,5.8976,0.0,0.0
1764478800000,2025-11-30 05:00:00,INJ/USD,5.956,5.956,5.8976,5.8976,12.666371,74.7011896096
1764475200000,2025-11-30 04:00:00,INJ/USD,5.956,5.956,5.956,5.956,0.0,0.0
1764471600000,2025-11-30 03:00:00,INJ/USD,5.956,5.956,5.956,5.956,0.0,0.0
1764468000000,2025-11-30 02:00:00,INJ/USD,5.9384,5.956,5.9384,5.956,4.912726,29.260196056
1764464400000,2025-11-30 01:00:00,INJ/USD,5.9384,5.9384,5.9384,5.9384,0.0,0.0
1764460800000,2025-11-30 00:00:00,INJ/USD,5.9384,5.9384,5.9384,5.9384,0.0,0.0
1764457200000,2025-11-29 23:00:00,INJ/USD,5.9384,5.9384,5.9384,5.9384,0.0,0.0
1764453600000,2025-11-29 22:00:00,INJ/USD,5.9384,5.9384,5.9384,5.9384,0.0,0.0
1764450000000,2025-11-29 21:00:00,INJ/USD,5.8985,5.9384,5.8985,5.9384,1.057292,6.278622812799999
1764446400000,2025-11-29 20:00:00,INJ/USD,5.8985,5.8985,5.8985,5.8985,0.0,0.0
1764442800000,2025-11-29 19:00:00,INJ/USD,5.9,5.9082,5.849,5.8985,1104.5,6514.89325
1764439200000,2025-11-29 18:00:00,INJ/USD,5.9,5.9,5.9,5.9,0.0,0.0
1764435600000,2025-11-29 17:00:00,INJ/USD,5.9558,5.9558,5.9,5.9,12.106862,71.4304858
1764432000000,2025-11-29 16:00:00,INJ/USD,5.9558,5.9558,5.9558,5.9558,0.0,0.0
1764428400000,2025-11-29 15:00:00,INJ/USD,5.9558,5.9558,5.9558,5.9558,0.0,0.0
1764424800000,2025-11-29 14:00:00,INJ/USD,5.9629,5.9629,5.9558,5.9558,42.598531,253.7083309298
1764421200000,2025-11-29 13:00:00,INJ/USD,5.9629,5.9629,5.9629,5.9629,0.0,0.0
1764417600000,2025-11-29 12:00:00,INJ/USD,5.9629,5.9629,5.9629,5.9629,0.0,0.0
1764414000000,2025-11-29 11:00:00,INJ/USD,5.9629,5.9629,5.9629,5.9629,0.0,0.0
1764410400000,2025-11-29 10:00:00,INJ/USD,5.9629,5.9629,5.9629,5.9629,0.0,0.0
1764406800000,2025-11-29 09:00:00,INJ/USD,6.026,6.026,5.9629,5.9629,0.278692,1.6618125268000001
1764403200000,2025-11-29 08:00:00,INJ/USD,6.026,6.026,6.026,6.026,0.0,0.0
1764399600000,2025-11-29 07:00:00,INJ/USD,6.026,6.026,6.026,6.026,0.0,0.0
1764396000000,2025-11-29 06:00:00,INJ/USD,6.026,6.026,6.026,6.026,0.0,0.0
1764392400000,2025-11-29 05:00:00,INJ/USD,6.026,6.026,6.026,6.026,0.0,0.0
1764388800000,2025-11-29 04:00:00,INJ/USD,6.026,6.026,6.026,6.026,0.0,0.0
1764385200000,2025-11-29 03:00:00,INJ/USD,6.026,6.026,6.026,6.026,0.0,0.0
1764381600000,2025-11-29 02:00:00,INJ/USD,6.026,6.026,6.026,6.026,0.0,0.0
1764378000000,2025-11-29 01:00:00,INJ/USD,5.99,6.026,5.99,6.026,10.992442,66.240455492
1764374400000,2025-11-29 00:00:00,INJ/USD,5.99,5.99,5.99,5.99,0.0,0.0
1764370800000,2025-11-28 23:00:00,INJ/USD,6.04,6.04,5.99,5.99,27.294128,163.49182672
1764367200000,2025-11-28 22:00:00,INJ/USD,6.0466,6.0466,6.04,6.04,12.804405,77.3386062
1764363600000,2025-11-28 21:00:00,INJ/USD,6.0645,6.0645,6.0466,6.0466,23.872558,144.3478092028
1764360000000,2025-11-28 20:00:00,INJ/USD,6.098,6.098,6.0645,6.0645,64.303899,389.9709954855
1764356400000,2025-11-28 19:00:00,INJ/USD,6.0,6.098,6.0,6.098,4.024152,24.539278896
1764352800000,2025-11-28 18:00:00,INJ/USD,6.0,6.0,6.0,6.0,0.0,0.0
1764349200000,2025-11-28 17:00:00,INJ/USD,6.146,6.146,6.0,6.0,514.079225,3084.4753499999997
1764345600000,2025-11-28 16:00:00,INJ/USD,6.2759,6.2759,6.146,6.146,3.967378,24.383505188
1764342000000,2025-11-28 15:00:00,INJ/USD,6.2759,6.2759,6.2759,6.2759,0.0,0.0
1764338400000,2025-11-28 14:00:00,INJ/USD,6.1881,6.2759,6.1881,6.2759,1.301501,8.168090125900001
1764334800000,2025-11-28 13:00:00,INJ/USD,6.1881,6.1881,6.1881,6.1881,0.0,0.0
1764331200000,2025-11-28 12:00:00,INJ/USD,6.1881,6.1881,6.1881,6.1881,0.0,0.0
1764327600000,2025-11-28 11:00:00,INJ/USD,6.2188,6.2188,6.1881,6.1881,0.152745,0.9452013345
1764324000000,2025-11-28 10:00:00,INJ/USD,6.2874,6.2874,6.2188,6.2188,1.551216,9.6467020608
1764320400000,2025-11-28 09:00:00,INJ/USD,6.248,6.2874,6.248,6.2874,1.551216,9.7531154784
1764316800000,2025-11-28 08:00:00,INJ/USD,6.11,6.248,6.11,6.248,503.654134,3146.831029232
1764313200000,2025-11-28 07:00:00,INJ/USD,6.0455,6.11,6.0455,6.11,3.205189,19.58370479
1764309600000,2025-11-28 06:00:00,INJ/USD,6.0814,6.0814,6.0455,6.0455,2.486049,15.029409229499999
1764306000000,2025-11-28 05:00:00,INJ/USD,6.0855,6.0855,6.0814,6.0814,91.653153,557.3794846542
1764302400000,2025-11-28 04:00:00,INJ/USD,6.0855,6.0855,6.0855,6.0855,0.0,0.0
1764298800000,2025-11-28 03:00:00,INJ/USD,6.1601,6.1601,6.0732,6.0855,66.837193,406.73773800149996
1764295200000,2025-11-28 02:00:00,INJ/USD,6.1601,6.1601,6.1601,6.1601,0.0,0.0
1764291600000,2025-11-28 01:00:00,INJ/USD,6.1601,6.1601,6.1601,6.1601,0.0,0.0
1764288000000,2025-11-28 00:00:00,INJ/USD,6.1601,6.1601,6.1601,6.1601,0.0,0.0
1764284400000,2025-11-27 23:00:00,INJ/USD,6.2234,6.2234,6.1601,6.1601,27.125385,167.0950841385
1764280800000,2025-11-27 22:00:00,INJ/USD,6.2681,6.2681,6.2234,6.2234,371.21194,2310.200387396
1764277200000,2025-11-27 21:00:00,INJ/USD,6.2426,6.2681,6.2426,6.2681,3.314808,20.7775480248
1764273600000,2025-11-27 20:00:00,INJ/USD,6.2426,6.2426,6.2426,6.2426,0.0,0.0
1764270000000,2025-11-27 19:00:00,INJ/USD,6.1641,6.2426,6.1641,6.2426,33.75243,210.702919518
1764266400000,2025-11-27 18:00:00,INJ/USD,6.0957,6.1641,6.0957,6.1641,31.739244,195.6438739404
1764262800000,2025-11-27 17:00:00,INJ/USD,6.0957,6.0957,6.0957,6.0957,0.0,0.0
1764259200000,2025-11-27 16:00:00,INJ/USD,6.0087,6.0957,6.0087,6.0957,64.768069,394.80671820329997
1764255600000,2025-11-27 15:00:00,INJ/USD,6.0053,6.0117,6.0053,6.0087,68.644496,412.46418311520006
