https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1762210800000,2025-11-03 23:00:00,BTCG/USD,106422.59,106726.8,106018.53,106540.48,7.01908772,747816.9748509056
1762207200000,2025-11-03 22:00:00,BTCG/USD,106872.1,106872.1,105824.78,106422.59,8.07709562,859585.4355580558
1762203600000,2025-11-03 21:00:00,BTCG/USD,106640.45,107046.14,106048.48,106872.1,13.62882439,1456541.083090519
1762200000000,2025-11-03 20:00:00,BTCG/USD,107009.8,107146.13,106290.39,106640.45,22.76789836,2427978.926664662
1762196400000,2025-11-03 19:00:00,BTCG/USD,106940.0,107382.24,106451.05,107009.8,20.10310601,2151229.353508898
1762192800000,2025-11-03 18:00:00,BTCG/USD,107440.45,107557.15,106784.25,106940.0,21.08753478,2255100.9693731996
1762189200000,2025-11-03 17:00:00,BTCG/USD,106628.49,107733.42,106497.3,107440.45,20.62345344,2215793.118147648
1762185600000,2025-11-03 16:00:00,BTCG/USD,105711.23,106754.74,105289.84,106628.49,39.94347488,4259112.411807331
1762182000000,2025-11-03 15:00:00,BTCG/USD,108016.87,108122.64,105500.0,105711.23,77.01979111,8141856.852581165
1762178400000,2025-11-03 14:00:00,BTCG/USD,107895.6,108300.0,107365.15,108016.87,48.32005453,5219381.048559921
1762174800000,2025-11-03 13:00:00,BTCG/USD,107733.01,108018.45,107577.42,107895.6,15.46799489,1668928.5894534842
1762171200000,2025-11-03 12:00:00,BTCG/USD,107812.0,108249.84,107696.0,107733.01,26.94180444,2902521.687152564
1762167600000,2025-11-03 11:00:00,BTCG/USD,106939.55,107898.22,106908.55,107812.0,58.93776325,6354198.131509
1762164000000,2025-11-03 10:00:00,BTCG/USD,107170.04,107576.48,106732.83,106939.55,12.35952692,1321722.2470376862
1762160400000,2025-11-03 09:00:00,BTCG/USD,107518.14,107875.24,107079.58,107170.04,8.93412122,957470.1285122487
1762156800000,2025-11-03 08:00:00,BTCG/USD,107442.64,107695.88,106960.01,107518.14,5.39481677,580040.6647512078
1762153200000,2025-11-03 07:00:00,BTCG/USD,107542.7,107787.55,107253.4,107442.64,19.76524969,2123630.606952782
1762149600000,2025-11-03 06:00:00,BTCG/USD,107574.81,107698.58,106948.76,107542.7,18.29088306,1967050.9496566618
1762146000000,2025-11-03 05:00:00,BTCG/USD,107837.92,108018.45,107391.9,107574.81,14.11687011,1518619.619877929
1762142400000,2025-11-03 04:00:00,BTCG/USD,107913.72,107995.91,107464.33,107837.92,11.39960013,1229309.1668509296
1762138800000,2025-11-03 03:00:00,BTCG/USD,109012.19,109146.7,107898.0,107913.72,11.48411515,1239293.586744858
1762135200000,2025-11-03 02:00:00,BTCG/USD,109682.28,109768.1,108630.37,109012.19,16.46593195,1794987.3022604708
1762131600000,2025-11-03 01:00:00,BTCG/USD,109801.01,109883.51,109357.95,109682.28,9.44470482,1035916.7585845896
1762128000000,2025-11-03 00:00:00,BTCG/USD,110538.06,110750.45,109801.01,109801.01,5.99403838,658151.4681027638
1762124400000,2025-11-02 23:00:00,BTCG/USD,109845.81,110697.66,109845.81,110538.06,27.87008144,3080704.734419606
1762120800000,2025-11-02 22:00:00,BTCG/USD,109968.31,110003.28,109475.0,109845.81,6.7723224,743911.239609144
1762117200000,2025-11-02 21:00:00,BTCG/USD,110082.48,110118.9,109944.41,109968.31,1.68777778,185602.0701221518
1762113600000,2025-11-02 20:00:00,BTCG/USD,110147.58,110202.46,109872.51,110082.48,10.15862978,1118287.1595842543
1762110000000,2025-11-02 19:00:00,BTCG/USD,110300.0,110300.0,109939.31,110147.58,2.33107508,256762.27886030643
