https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1764727200000,2025-12-03 02:00:00,SOL/USD,138.901,140.35,138.828,140.072,2033.787627,284876.700489144
1764723600000,2025-12-03 01:00:00,SOL/USD,138.16,139.222,137.939,138.901,1795.032798,249331.85067499802
1764720000000,2025-12-03 00:00:00,SOL/USD,138.675,138.9,137.874,138.16,6331.107245,874705.7769692
1764716400000,2025-12-02 23:00:00,SOL/USD,139.918,139.938,138.466,138.675,1201.952891,166680.817159425
1764712800000,2025-12-02 22:00:00,SOL/USD,139.27,139.978,138.882,139.918,1483.170099,207522.193911882
1764709200000,2025-12-02 21:00:00,SOL/USD,138.753,139.301,138.474,139.27,1920.225739,267429.83867053
1764705600000,2025-12-02 20:00:00,SOL/USD,140.264,140.368,138.194,138.753,5771.756275,800848.4984250749
1764702000000,2025-12-02 19:00:00,SOL/USD,139.838,140.655,139.838,140.264,2791.782026,391586.514094864
1764698400000,2025-12-02 18:00:00,SOL/USD,139.442,140.338,139.442,139.838,4536.503597,634375.589997286
1764694800000,2025-12-02 17:00:00,SOL/USD,139.412,140.894,139.277,139.442,4133.864204,576434.2923341681
1764691200000,2025-12-02 16:00:00,SOL/USD,137.956,139.742,137.42,139.412,8138.512068,1134606.244424016
1764687600000,2025-12-02 15:00:00,SOL/USD,132.952,139.77,132.952,137.956,13269.62505,1830624.3933978
1764684000000,2025-12-02 14:00:00,SOL/USD,130.502,133.428,130.424,132.952,4911.91205,653048.5308716
1764680400000,2025-12-02 13:00:00,SOL/USD,128.812,130.99,128.431,130.502,3686.000468,481030.43307493604
1764676800000,2025-12-02 12:00:00,SOL/USD,128.298,129.0,128.179,128.812,698.152879,89930.468649748
1764673200000,2025-12-02 11:00:00,SOL/USD,128.337,128.451,127.852,128.298,820.565491,105276.91136431799
1764669600000,2025-12-02 10:00:00,SOL/USD,126.849,128.772,126.726,128.337,426.248708,54703.480438596
1764666000000,2025-12-02 09:00:00,SOL/USD,126.09,127.06,126.09,126.849,190.322004,24142.155885396
1764662400000,2025-12-02 08:00:00,SOL/USD,127.301,127.301,126.039,126.09,863.546561,108884.58587649
1764658800000,2025-12-02 07:00:00,SOL/USD,127.67,127.67,127.03,127.301,656.114843,83524.075628743
1764655200000,2025-12-02 06:00:00,SOL/USD,126.72,127.853,126.463,127.67,594.516551,75901.92806617
1764651600000,2025-12-02 05:00:00,SOL/USD,126.892,127.102,126.55,126.72,200.037226,25348.71727872
1764648000000,2025-12-02 04:00:00,SOL/USD,127.232,127.847,126.892,126.892,836.626906,106161.261356152
1764644400000,2025-12-02 03:00:00,SOL/USD,126.941,127.677,126.059,127.232,1325.673579,168668.100803328
1764640800000,2025-12-02 02:00:00,SOL/USD,126.993,128.069,126.65,126.941,1796.744218,228080.507777138
1764637200000,2025-12-02 01:00:00,SOL/USD,127.354,128.485,126.852,126.993,2289.544839,290756.167739127
1764633600000,2025-12-02 00:00:00,SOL/USD,126.682,127.519,126.501,127.354,4118.554208,524514.3526056319
1764630000000,2025-12-01 23:00:00,SOL/USD,126.928,127.392,126.57,126.682,1598.534927,202505.601622214
1764626400000,2025-12-01 22:00:00,SOL/USD,126.105,127.416,125.841,126.928,1979.425266,251244.490162848
1764622800000,2025-12-01 21:00:00,SOL/USD,124.423,126.211,124.258,126.105,6659.844387,839839.6764226351
1764619200000,2025-12-01 20:00:00,SOL/USD,123.866,125.322,123.798,124.423,2132.175639,265291.689531297
1764615600000,2025-12-01 19:00:00,SOL/USD,124.501,124.519,123.354,123.866,2092.921748,259241.84523776802
1764612000000,2025-12-01 18:00:00,SOL/USD,124.475,125.266,123.782,124.501,2522.348923,314034.963262423
1764608400000,2025-12-01 17:00:00,SOL/USD,123.489,124.948,123.489,124.475,2641.105477,328751.604249575
1764604800000,2025-12-01 16:00:00,SOL/USD,125.067,125.301,123.426,123.489,2786.278026,344074.687152714
1764601200000,2025-12-01 15:00:00,SOL/USD,126.126,126.205,123.12,125.067,12477.265725,1560494.192428575
1764597600000,2025-12-01 14:00:00,SOL/USD,126.477,127.0,125.59,126.126,1988.125249,250754.285155374
1764594000000,2025-12-01 13:00:00,SOL/USD,126.785,127.677,126.126,126.477,2529.283823,319896.23008157103
1764590400000,2025-12-01 12:00:00,SOL/USD,127.158,127.161,125.426,126.785,677.65957,85917.06858245
1764586800000,2025-12-01 11:00:00,SOL/USD,127.196,127.227,126.876,127.158,233.997903,29754.705349674
1764583200000,2025-12-01 10:00:00,SOL/USD,127.069,127.558,127.069,127.196,255.491795,32497.53435682
1764579600000,2025-12-01 09:00:00,SOL/USD,127.68,127.905,126.907,127.069,4932.679453,626790.645413257
1764576000000,2025-12-01 08:00:00,SOL/USD,127.412,127.75,127.024,127.68,403.477035,51515.9478288
1764572400000,2025-12-01 07:00:00,SOL/USD,126.754,127.418,126.351,127.412,159.450239,20315.873851468
1764568800000,2025-12-01 06:00:00,SOL/USD,126.105,126.857,126.016,126.754,3720.43279,471579.73786366
1764565200000,2025-12-01 05:00:00,SOL/USD,126.356,126.581,125.858,126.105,3469.652758,437540.56104759005
1764561600000,2025-12-01 04:00:00,SOL/USD,127.032,127.032,126.197,126.356,1306.281303,165056.480321868
1764558000000,2025-12-01 03:00:00,SOL/USD,127.571,127.571,126.55,127.032,3894.6054,494739.51317279995
1764554400000,2025-12-01 02:00:00,SOL/USD,127.966,128.676,127.488,127.571,2338.732854,298354.48891763395
1764550800000,2025-12-01 01:00:00,SOL/USD,127.555,129.282,127.478,127.966,5336.820711,682931.599103826
1764547200000,2025-12-01 00:00:00,SOL/USD,133.533,133.775,127.555,127.555,11409.230043,1455304.338134865
