https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CTX,Volume USD
1764619200000,2025-12-01 20:00:00,CTX/USD,0.9169,0.9169,0.9169,0.9169,0.0,0.0
1764615600000,2025-12-01 19:00:00,CTX/USD,0.9169,0.9169,0.9169,0.9169,0.0,0.0
1764612000000,2025-12-01 18:00:00,CTX/USD,0.9169,0.9169,0.9169,0.9169,0.0,0.0
1764608400000,2025-12-01 17:00:00,CTX/USD,0.9169,0.9169,0.9169,0.9169,0.0,0.0
1764604800000,2025-12-01 16:00:00,CTX/USD,0.9252,0.9252,0.9169,0.9169,106.945311,98.05815565590001
1764601200000,2025-12-01 15:00:00,CTX/USD,0.9252,0.9252,0.9252,0.9252,0.0,0.0
1764597600000,2025-12-01 14:00:00,CTX/USD,0.9252,0.9252,0.9252,0.9252,0.0,0.0
1764594000000,2025-12-01 13:00:00,CTX/USD,0.9252,0.9252,0.9252,0.9252,0.0,0.0
1764590400000,2025-12-01 12:00:00,CTX/USD,0.9292,0.9292,0.9252,0.9252,5.990901,5.5427816052
1764586800000,2025-12-01 11:00:00,CTX/USD,0.9292,0.9292,0.9292,0.9292,0.0,0.0
1764583200000,2025-12-01 10:00:00,CTX/USD,0.8952,0.9292,0.8952,0.9292,367.378795,341.36837631400005
1764579600000,2025-12-01 09:00:00,CTX/USD,0.8952,0.8952,0.8952,0.8952,0.0,0.0
1764576000000,2025-12-01 08:00:00,CTX/USD,0.88,0.8952,0.88,0.8952,19.114668,17.111450793600003
1764572400000,2025-12-01 07:00:00,CTX/USD,0.906,0.9129,0.88,0.88,18.494274,16.27496112
1764568800000,2025-12-01 06:00:00,CTX/USD,0.9081,0.9221,0.9011,0.906,819.729288,742.674734928
1764565200000,2025-12-01 05:00:00,CTX/USD,0.9258,0.9258,0.9081,0.9081,213.474949,193.8566011869
1764561600000,2025-12-01 04:00:00,CTX/USD,0.929,0.929,0.9251,0.9258,3.358768,3.1095474143999997
1764558000000,2025-12-01 03:00:00,CTX/USD,0.93,0.93,0.929,0.929,0.01,0.009290000000000001
1764554400000,2025-12-01 02:00:00,CTX/USD,0.9411,0.9411,0.93,0.93,4.386832,4.07975376
1764550800000,2025-12-01 01:00:00,CTX/USD,0.943,0.943,0.9411,0.9411,0.517195,0.4867322145
1764547200000,2025-12-01 00:00:00,CTX/USD,0.9513,0.9513,0.943,0.943,3.782543,3.566938049
1764543600000,2025-11-30 23:00:00,CTX/USD,0.9501,0.9513,0.9321,0.9513,413.996967,393.8353147071
1764540000000,2025-11-30 22:00:00,CTX/USD,0.9815,0.9916,0.9501,0.9501,21.161589,20.1056257089
1764536400000,2025-11-30 21:00:00,CTX/USD,0.9745,0.9915,0.9745,0.9815,27.654238,27.142634597
1764532800000,2025-11-30 20:00:00,CTX/USD,0.9745,0.9745,0.9745,0.9745,0.0,0.0
1764529200000,2025-11-30 19:00:00,CTX/USD,0.9745,0.9745,0.9745,0.9745,0.0,0.0
1764525600000,2025-11-30 18:00:00,CTX/USD,0.9745,0.9745,0.9745,0.9745,0.0,0.0
1764522000000,2025-11-30 17:00:00,CTX/USD,0.9733,0.9823,0.9733,0.9745,15.0,14.6175
1764518400000,2025-11-30 16:00:00,CTX/USD,0.9905,0.9905,0.9733,0.9733,145.593548,141.7062002684
1764514800000,2025-11-30 15:00:00,CTX/USD,0.9905,0.9905,0.9905,0.9905,0.0,0.0
1764511200000,2025-11-30 14:00:00,CTX/USD,0.9905,0.9905,0.9905,0.9905,0.0,0.0
1764507600000,2025-11-30 13:00:00,CTX/USD,0.9905,0.9905,0.9905,0.9905,0.0,0.0
1764504000000,2025-11-30 12:00:00,CTX/USD,0.9925,0.9925,0.9821,0.9905,20.635309,20.4392735645
1764500400000,2025-11-30 11:00:00,CTX/USD,0.9736,0.9925,0.9736,0.9925,0.982643,0.9752731775000001
1764496800000,2025-11-30 10:00:00,CTX/USD,0.9736,0.9736,0.9736,0.9736,0.0,0.0
1764493200000,2025-11-30 09:00:00,CTX/USD,0.9736,0.9736,0.9736,0.9736,0.0,0.0
1764489600000,2025-11-30 08:00:00,CTX/USD,0.9736,0.9736,0.9736,0.9736,0.0,0.0
1764486000000,2025-11-30 07:00:00,CTX/USD,0.9736,0.9736,0.9736,0.9736,0.0,0.0
1764482400000,2025-11-30 06:00:00,CTX/USD,0.9735,0.9736,0.9735,0.9736,64.437003,62.735866120800004
1764478800000,2025-11-30 05:00:00,CTX/USD,0.9735,0.9735,0.9735,0.9735,0.0,0.0
1764475200000,2025-11-30 04:00:00,CTX/USD,0.9735,0.9735,0.9735,0.9735,0.0,0.0
1764471600000,2025-11-30 03:00:00,CTX/USD,0.9735,0.9735,0.9735,0.9735,0.0,0.0
1764468000000,2025-11-30 02:00:00,CTX/USD,0.972,0.9735,0.972,0.9735,3.990844,3.8850866340000003
1764464400000,2025-11-30 01:00:00,CTX/USD,0.972,0.972,0.972,0.972,0.0,0.0
1764460800000,2025-11-30 00:00:00,CTX/USD,0.9522,0.9721,0.9522,0.972,1682.529444,1635.418619568
1764457200000,2025-11-29 23:00:00,CTX/USD,0.9522,0.9522,0.9522,0.9522,0.0,0.0
1764453600000,2025-11-29 22:00:00,CTX/USD,0.9522,0.9522,0.9522,0.9522,0.0,0.0
1764450000000,2025-11-29 21:00:00,CTX/USD,0.9753,0.9753,0.9522,0.9522,108.06914,102.90343510800001
1764446400000,2025-11-29 20:00:00,CTX/USD,0.9753,0.9753,0.9753,0.9753,0.0,0.0
1764442800000,2025-11-29 19:00:00,CTX/USD,0.9726,0.9753,0.9682,0.9753,101.0,98.50529999999999
1764439200000,2025-11-29 18:00:00,CTX/USD,0.9726,0.9726,0.9726,0.9726,0.0,0.0
1764435600000,2025-11-29 17:00:00,CTX/USD,0.9726,0.9726,0.9726,0.9726,0.0,0.0
1764432000000,2025-11-29 16:00:00,CTX/USD,0.9726,0.9726,0.9726,0.9726,0.0,0.0
1764428400000,2025-11-29 15:00:00,CTX/USD,0.9726,0.9726,0.9726,0.9726,0.0,0.0
1764424800000,2025-11-29 14:00:00,CTX/USD,0.9726,0.9726,0.9726,0.9726,0.0,0.0
1764421200000,2025-11-29 13:00:00,CTX/USD,0.9726,0.9726,0.9726,0.9726,0.0,0.0
1764417600000,2025-11-29 12:00:00,CTX/USD,0.9726,0.9726,0.9726,0.9726,0.0,0.0
1764414000000,2025-11-29 11:00:00,CTX/USD,0.9605,0.979,0.9605,0.9726,506.740204,492.8555224104
1764410400000,2025-11-29 10:00:00,CTX/USD,0.9605,0.9605,0.9605,0.9605,0.0,0.0
1764406800000,2025-11-29 09:00:00,CTX/USD,0.9605,0.9605,0.9605,0.9605,0.0,0.0
1764403200000,2025-11-29 08:00:00,CTX/USD,0.9605,0.9605,0.9605,0.9605,0.0,0.0
1764399600000,2025-11-29 07:00:00,CTX/USD,0.9764,0.9764,0.9605,0.9605,24.7,23.72435
1764396000000,2025-11-29 06:00:00,CTX/USD,0.9774,0.9774,0.9707,0.9764,9.988846,9.753109234400002
1764392400000,2025-11-29 05:00:00,CTX/USD,0.9774,0.9774,0.9774,0.9774,0.0,0.0
1764388800000,2025-11-29 04:00:00,CTX/USD,0.9607,0.9774,0.9607,0.9774,24.946819,24.3830208906
1764385200000,2025-11-29 03:00:00,CTX/USD,0.9607,0.9607,0.9607,0.9607,0.0,0.0
1764381600000,2025-11-29 02:00:00,CTX/USD,0.9607,0.9607,0.9607,0.9607,0.0,0.0
1764378000000,2025-11-29 01:00:00,CTX/USD,0.9607,0.9607,0.9607,0.9607,0.0,0.0
1764374400000,2025-11-29 00:00:00,CTX/USD,0.9607,0.9607,0.9607,0.9607,0.0,0.0
1764370800000,2025-11-28 23:00:00,CTX/USD,0.9607,0.9607,0.9607,0.9607,0.0,0.0
1764367200000,2025-11-28 22:00:00,CTX/USD,0.9607,0.9607,0.9607,0.9607,0.0,0.0
1764363600000,2025-11-28 21:00:00,CTX/USD,0.9607,0.9607,0.9607,0.9607,0.0,0.0
1764360000000,2025-11-28 20:00:00,CTX/USD,0.9799,0.9841,0.9607,0.9607,326.559461,313.7256741827
1764356400000,2025-11-28 19:00:00,CTX/USD,0.9799,0.9799,0.9799,0.9799,0.0,0.0
1764352800000,2025-11-28 18:00:00,CTX/USD,0.9855,0.9855,0.9799,0.9799,44.869878,43.9679934522
1764349200000,2025-11-28 17:00:00,CTX/USD,0.9855,0.9855,0.9855,0.9855,0.0,0.0
1764345600000,2025-11-28 16:00:00,CTX/USD,0.9855,0.9855,0.9855,0.9855,0.0,0.0
1764342000000,2025-11-28 15:00:00,CTX/USD,1.0064,1.0064,0.9855,0.9855,30.223474,29.785233627
1764338400000,2025-11-28 14:00:00,CTX/USD,1.0154,1.0154,1.0064,1.0064,2.33261,2.3475387039999998
1764334800000,2025-11-28 13:00:00,CTX/USD,1.0114,1.0154,1.0114,1.0154,87.03959,88.379999686
1764331200000,2025-11-28 12:00:00,CTX/USD,0.9949,1.0114,0.9949,1.0114,144.640759,146.2896636526
1764327600000,2025-11-28 11:00:00,CTX/USD,0.9949,0.9949,0.9949,0.9949,0.0,0.0
1764324000000,2025-11-28 10:00:00,CTX/USD,0.9949,0.9949,0.9949,0.9949,0.0,0.0
1764320400000,2025-11-28 09:00:00,CTX/USD,1.015,1.015,0.9949,0.9949,10.0,9.949
1764316800000,2025-11-28 08:00:00,CTX/USD,1.015,1.015,1.015,1.015,0.0,0.0
1764313200000,2025-11-28 07:00:00,CTX/USD,1.024,1.0307,1.015,1.015,807.580123,819.6938248449999
1764309600000,2025-11-28 06:00:00,CTX/USD,1.024,1.024,1.024,1.024,0.0,0.0
1764306000000,2025-11-28 05:00:00,CTX/USD,0.9828,1.033,0.9828,1.024,101.554545,103.99185408000001
1764302400000,2025-11-28 04:00:00,CTX/USD,0.9831,0.9831,0.9828,0.9828,129.242979,127.0199997612
1764298800000,2025-11-28 03:00:00,CTX/USD,0.9831,0.9831,0.9831,0.9831,0.0,0.0
1764295200000,2025-11-28 02:00:00,CTX/USD,0.9863,0.9863,0.9761,0.9831,304.238312,299.0966845272
1764291600000,2025-11-28 01:00:00,CTX/USD,0.9863,0.9863,0.9863,0.9863,0.0,0.0
1764288000000,2025-11-28 00:00:00,CTX/USD,0.9863,0.9863,0.9863,0.9863,0.0,0.0
1764284400000,2025-11-27 23:00:00,CTX/USD,0.9863,0.9863,0.9863,0.9863,0.0,0.0
1764280800000,2025-11-27 22:00:00,CTX/USD,0.9813,0.9863,0.9813,0.9863,164.62,162.36470599999998
1764277200000,2025-11-27 21:00:00,CTX/USD,0.9813,0.9813,0.9813,0.9813,0.0,0.0
1764273600000,2025-11-27 20:00:00,CTX/USD,0.9813,0.9813,0.9813,0.9813,0.0,0.0
1764270000000,2025-11-27 19:00:00,CTX/USD,0.9813,0.9813,0.9813,0.9813,0.0,0.0
1764266400000,2025-11-27 18:00:00,CTX/USD,0.9813,0.9813,0.9813,0.9813,0.0,0.0
1764262800000,2025-11-27 17:00:00,CTX/USD,0.9666,0.9813,0.9666,0.9813,94.884337,93.1099998981
1764259200000,2025-11-27 16:00:00,CTX/USD,0.9666,0.9666,0.9666,0.9666,0.0,0.0
1764255600000,2025-11-27 15:00:00,CTX/USD,0.9666,0.9666,0.9666,0.9666,0.0,0.0
1764252000000,2025-11-27 14:00:00,CTX/USD,0.9666,0.9666,0.9666,0.9666,0.0,0.0
1764248400000,2025-11-27 13:00:00,CTX/USD,0.9666,0.9666,0.9666,0.9666,0.0,0.0
1764244800000,2025-11-27 12:00:00,CTX/USD,0.9635,0.9725,0.9635,0.9666,6.527721,6.3096951186
1764241200000,2025-11-27 11:00:00,CTX/USD,0.9635,0.9635,0.9635,0.9635,0.0,0.0
1764237600000,2025-11-27 10:00:00,CTX/USD,0.9635,0.9635,0.9635,0.9635,0.0,0.0
1764234000000,2025-11-27 09:00:00,CTX/USD,0.9635,0.9635,0.9635,0.9635,0.0,0.0
1764230400000,2025-11-27 08:00:00,CTX/USD,0.9635,0.9635,0.9635,0.9635,0.0,0.0
1764226800000,2025-11-27 07:00:00,CTX/USD,0.9635,0.9635,0.9635,0.9635,0.0,0.0
1764223200000,2025-11-27 06:00:00,CTX/USD,0.9635,0.9635,0.9635,0.9635,0.0,0.0
1764219600000,2025-11-27 05:00:00,CTX/USD,0.9635,0.9635,0.9635,0.9635,0.0,0.0
1764216000000,2025-11-27 04:00:00,CTX/USD,0.9635,0.9635,0.9635,0.9635,0.0,0.0
1764212400000,2025-11-27 03:00:00,CTX/USD,0.9635,0.9635,0.9635,0.9635,0.0,0.0
1764208800000,2025-11-27 02:00:00,CTX/USD,0.9635,0.9635,0.9635,0.9635,0.0,0.0
1764205200000,2025-11-27 01:00:00,CTX/USD,0.989,0.989,0.9635,0.9635,7.0,6.7445
1764201600000,2025-11-27 00:00:00,CTX/USD,0.989,0.989,0.989,0.989,0.0,0.0
1764198000000,2025-11-26 23:00:00,CTX/USD,0.9899,0.9899,0.9824,0.989,9.861848,9.753367672
1764194400000,2025-11-26 22:00:00,CTX/USD,0.9928,0.9928,0.9835,0.9899,2.955891,2.9260365009
1764190800000,2025-11-26 21:00:00,CTX/USD,0.9928,0.9928,0.9928,0.9928,0.0,0.0
1764187200000,2025-11-26 20:00:00,CTX/USD,0.98,0.9928,0.98,0.9928,29.470482,29.2582945296
1764183600000,2025-11-26 19:00:00,CTX/USD,0.9698,0.98,0.9698,0.98,1006.94,986.8012
1764180000000,2025-11-26 18:00:00,CTX/USD,0.9672,0.9698,0.9632,0.9698,377.105451,365.7168663798
1764176400000,2025-11-26 17:00:00,CTX/USD,0.9436,0.9672,0.9436,0.9672,1028.785,995.040852
1764172800000,2025-11-26 16:00:00,CTX/USD,0.9436,0.9436,0.9436,0.9436,0.0,0.0
1764169200000,2025-11-26 15:00:00,CTX/USD,0.9436,0.9503,0.9436,0.9436,7.12841,6.726367676
1764165600000,2025-11-26 14:00:00,CTX/USD,0.9436,0.9436,0.9436,0.9436,0.0,0.0
1764162000000,2025-11-26 13:00:00,CTX/USD,0.9436,0.9436,0.9436,0.9436,0.0,0.0
1764158400000,2025-11-26 12:00:00,CTX/USD,0.9436,0.9436,0.9436,0.9436,0.0,0.0
1764154800000,2025-11-26 11:00:00,CTX/USD,0.9653,0.9653,0.9436,0.9436,68.0,64.1648
1764151200000,2025-11-26 10:00:00,CTX/USD,0.9653,0.9653,0.9653,0.9653,0.0,0.0
1764147600000,2025-11-26 09:00:00,CTX/USD,0.9653,0.9653,0.9653,0.9653,0.0,0.0
1764144000000,2025-11-26 08:00:00,CTX/USD,0.9653,0.9653,0.9653,0.9653,0.0,0.0
1764140400000,2025-11-26 07:00:00,CTX/USD,0.9653,0.9653,0.9653,0.9653,0.0,0.0
1764136800000,2025-11-26 06:00:00,CTX/USD,0.9481,0.9653,0.9481,0.9653,10.103589,9.7529944617
1764133200000,2025-11-26 05:00:00,CTX/USD,0.9508,0.9648,0.9457,0.9481,2672.310464,2533.6175509184004
1764129600000,2025-11-26 04:00:00,CTX/USD,0.9357,0.9508,0.9357,0.9508,45.336734,43.1061666872
1764126000000,2025-11-26 03:00:00,CTX/USD,0.9357,0.9357,0.9357,0.9357,0.0,0.0
1764122400000,2025-11-26 02:00:00,CTX/USD,0.9357,0.9357,0.9357,0.9357,0.0,0.0
1764118800000,2025-11-26 01:00:00,CTX/USD,0.9358,0.9428,0.9357,0.9357,2.926296,2.7381351672
1764115200000,2025-11-26 00:00:00,CTX/USD,0.9358,0.9358,0.9358,0.9358,0.0,0.0
